epoch,train_loss,train_acc,test_loss,test_acc
1,0.6976247761249542,0.7717833333333334,0.3202284329533577,0.9013
2,0.2701861805597941,0.9156833333333333,0.18686765506267547,0.9449
3,0.17695379472176234,0.9457166666666666,0.14232995407357812,0.9566
4,0.13503323169151943,0.9579666666666666,0.1156374325864017,0.9655
5,0.11203001142938931,0.9650333333333333,0.1150642413161695,0.9654
6,0.09331553659041722,0.9712333333333333,0.10287234945595264,0.9697
7,0.07967837351957957,0.975,0.10900667575933039,0.9677
8,0.07185369107325872,0.9775,0.09968449289165437,0.9717
9,0.06302101739545664,0.9801166666666666,0.09304159994460642,0.9738
10,0.05485592476725578,0.9822,0.08438620225861669,0.9763
11,0.0494110754729559,0.9836,0.08944544820180163,0.9747
12,0.04736698178450267,0.9846,0.09964832004178316,0.9734
13,0.03973623725622892,0.98715,0.08778606376685202,0.9757
14,0.03777315026919047,0.9875666666666667,0.08882918230816722,0.9763
15,0.036398884932200115,0.9878166666666667,0.07655396066410466,0.9791
16,0.03541097118208806,0.98795,0.07483453787039034,0.9794
17,0.031086402434607346,0.98965,0.07944723569769413,0.9786
18,0.029101470986008644,0.9906166666666667,0.08899309305055067,0.9776
19,0.027253496123788256,0.9908333333333333,0.07107312730969861,0.9809
20,0.024526828935245673,0.9921333333333333,0.08120699909643736,0.9801
21,0.02605012283275525,0.99145,0.07544341088626534,0.9806
22,0.023944818039983513,0.9917833333333334,0.07781246838432271,0.979
23,0.021967235941191515,0.9925666666666667,0.07477435766861308,0.9811
24,0.021653832971056303,0.99305,0.08643935698615388,0.9798
25,0.02031964184343815,0.9931,0.06994014735908713,0.9827
26,0.02134016232714057,0.9925833333333334,0.07957972172920126,0.9799
27,0.020058565001686415,0.9932,0.07681284971369896,0.9823
28,0.01803710505999625,0.9938,0.07469981057257391,0.9807
29,0.01869948967397213,0.9937333333333334,0.07822693721326068,0.9821
30,0.01756815852529059,0.99445,0.0700075754665304,0.9825
